PLAYER_NAME,total_poss,iso_freq,iso_ppp,iso_total_poss,tr_freq,tr_ppp,tr_total_poss,prb_freq,prb_ppp,prb_total_poss,prr_freq,prr_ppp,prr_total_poss,pu_freq,pu_ppp,pu_total_poss,su_freq,su_ppp,su_total_poss,ho_freq,ho_ppp,ho_total_poss,cut_freq,cut_ppp,cut_total_poss,os_freq,os_ppp,os_total_poss,putback_freq,putback_ppp,putback_total_poss,misc_freq,misc_ppp,misc_total_poss
Terence Davis,486.4,0.027,1.538,0.2,0.244,1.129,1.8,0.168,0.675,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.307,1.123,2.3,0.025,0.583,0.2,0.061,1.345,0.5,0.061,0.931,0.5,0.063,1.2,0.5,0.04,0.526,0.3
Terrance Ferguson,225.0,0.0,0.0,0.0,0.209,0.88,1.0,0.0,0.0,0.0,0.042,0.6,0.2,0.0,0.0,0.0,0.502,0.817,2.4,0.075,0.944,0.4,0.046,1.545,0.2,0.059,1.214,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Terrence Ross,882.0,0.029,0.654,0.4,0.129,1.138,1.8,0.22,0.939,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.175,1.032,2.5,0.094,1.095,1.3,0.031,1.429,0.4,0.273,1.102,3.9,0.0,0.0,0.0,0.039,0.686,0.6
Terry Rozier,1134.0000000000002,0.074,0.882,1.3,0.194,1.103,3.5,0.269,0.793,4.9,0.01,1.455,0.2,0.0,0.0,0.0,0.188,1.106,3.4,0.083,0.863,1.5,0.013,1.267,0.2,0.094,1.111,1.7,0.024,0.786,0.4,0.049,0.679,0.9
Thabo Sefolosha,92.4,0.0,0.0,0.0,0.173,1.368,0.5,0.0,0.0,0.0,0.091,1.0,0.2,0.0,0.0,0.0,0.5,0.655,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.4,0.2
Theo Pinson,174.9,0.149,0.759,0.9,0.138,1.259,0.8,0.328,0.578,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.439,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.222,0.5
Thomas Bryant,391.4,0.0,0.0,0.0,0.134,1.302,1.4,0.0,0.0,0.0,0.301,1.235,3.1,0.048,0.474,0.5,0.124,1.184,1.3,0.0,0.0,0.0,0.177,1.4,1.8,0.0,0.0,0.0,0.121,1.313,1.3,0.083,0.152,0.9
Tim Frazier,118.8,0.0,0.0,0.0,0.169,1.083,0.9,0.507,0.5,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.085,1.25,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085,0.25,0.4
Tim Hardaway Jr.,900.9,0.063,0.828,0.9,0.17,1.051,2.5,0.188,0.971,2.7,0.023,1.238,0.3,0.0,0.0,0.0,0.292,1.287,4.3,0.056,1.196,0.8,0.016,1.0,0.2,0.119,0.844,1.7,0.015,1.571,0.2,0.048,0.886,0.7
Timothe Luwawu-Cabarrot,252.0,0.0,0.0,0.0,0.201,1.157,1.3,0.079,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.417,0.972,2.6,0.047,0.917,0.3,0.071,1.389,0.5,0.055,1.143,0.4,0.039,1.2,0.3,0.063,0.625,0.4
