PLAYER_NAME,TEAM_NAME,total_poss,iso_freq,iso_ppp,iso_total_poss,tr_freq,tr_ppp,tr_total_poss,prb_freq,prb_ppp,prb_total_poss,prr_freq,prr_ppp,prr_total_poss,pu_freq,pu_ppp,pu_total_poss,su_freq,su_ppp,su_total_poss,ho_freq,ho_ppp,ho_total_poss,cut_freq,cut_ppp,cut_total_poss,os_freq,os_ppp,os_total_poss,putback_freq,putback_ppp,putback_total_poss,misc_freq,misc_ppp,misc_total_poss
Lamar Patterson,Atlanta Hawks,87.5,0,0,0,0.114,1.615,0.4,0.114,0.385,0.4,0,0,0,0,0,0,0.43,0.592,1.4,0,0,0,0.096,1.273,0.3,0,0,0,0,0,0,0,0,0
Lance Stephenson,Memphis Grizzlies,389.9,0.31,0.793,4.7,0.113,0.932,1.7,0.218,0.976,3.3,0,0,0,0.051,0.75,0.8,0.156,1.033,2.3,0.038,1.067,0.6,0.036,1.571,0.5,0,0,0,0.038,1.2,0.6,0.049,0.727,0.3
Lance Thomas,New York Knicks,472,0.066,1.063,0.5,0.131,1.141,1.1,0.06,0.759,0.5,0.025,0.833,0.2,0.053,1.231,0.4,0.39,1.074,3.2,0,0,0,0.086,1.024,0.7,0.057,0.643,0.5,0.039,1.158,0.3,0.078,0.421,0.6
Langston Galloway,New York Knicks,697,0.048,0.758,0.4,0.22,1.072,1.9,0.174,0.744,1.5,0,0,0,0,0,0,0.28,0.907,2.4,0.081,0.786,0.7,0.05,1.343,0.4,0.061,0.738,0.5,0.027,1.105,0.2,0.058,0.525,0.5
Larry Nance Jr.,Los Angeles Lakers,346.5,0.039,0.857,0.2,0.115,1.537,0.7,0,0,0,0.115,0.829,0.7,0,0,0,0.215,0.779,1.2,0,0,0,0.198,1.155,1.1,0.036,0.615,0.2,0.151,1.019,0.9,0.081,0.586,0.5
Lavoy Allen,Indiana Pacers,450.3,0,0,0,0.085,1.175,0.5,0,0,0,0.172,1,1,0.085,0.525,0.5,0.136,0.688,0.8,0,0,0,0.22,1.135,1.3,0,0,0,0.191,1.156,1.1,0.091,0.256,0.5
LeBron James,Cleveland Cavaliers,1869.6,0.191,0.853,4.7,0.195,1.319,4.8,0.216,0.885,5.3,0.036,1.358,0.9,0.106,0.893,2.6,0.067,1,1.6,0.019,1.257,0.5,0.057,1.39,1.4,0.021,0.923,0.5,0.036,1.299,0.9,0.058,0.495,1.4
Leandro Barbosa,Golden State Warriors,442,0.058,0.731,0.4,0.273,1.22,1.8,0.144,0.908,1,0,0,0,0,0,0,0.193,0.908,1.3,0.053,0.958,0.4,0.036,1,0.2,0.156,0.986,1,0,0,0,0.067,0.467,0.4
Lou Williams,Los Angeles Lakers,971.5,0.093,1.187,1.4,0.142,1.058,2.1,0.437,1.014,6.4,0,0,0,0,0,0,0.103,1.17,1.5,0.079,0.883,1.1,0.015,1.333,0.2,0.088,0.965,1.3,0.015,1.4,0.2,0.024,0.478,0.3
Luc Mbah a Moute,LA Clippers,262.5,0,0,0,0.184,1.102,0.7,0,0,0,0.075,0.75,0.3,0,0,0,0.297,0.861,1.1,0,0,0,0.248,1.091,0.9,0,0,0,0.083,0.636,0.3,0.049,0.231,0.2
Luis Scola,Toronto Raptors,691.6,0,0,0,0.136,1.427,1.3,0,0,0,0.184,0.831,1.7,0.155,0.725,1.4,0.294,0.966,2.7,0,0,0,0.078,1.091,0.7,0,0,0,0.082,0.931,0.8,0.051,0.5,0.5
Luke Babbitt,New Orleans Pelicans,305.5,0.045,0.467,0.3,0.139,1.196,1,0.069,1.043,0.5,0,0,0,0,0,0,0.44,0.945,3.1,0.048,1.188,0.3,0,0,0,0.108,1,0.8,0.066,0.909,0.5,0,0,0
Luol Deng,Miami Heat,925,0.043,0.487,0.5,0.155,1.326,1.9,0.029,0.846,0.4,0.07,1,0.9,0.067,0.639,0.8,0.355,0.95,4.4,0.019,1.059,0.2,0.095,1.276,1.2,0.045,0.61,0.6,0.069,1.349,0.9,0.054,0.633,0.7
Manu Ginobili,San Antonio Spurs,562.6,0.062,1.056,0.6,0.098,1.158,1,0.238,0.691,2.4,0,0,0,0,0,0,0.272,1.113,2.7,0.077,0.956,0.8,0.068,1.2,0.7,0.079,1.043,0.8,0,0,0,0.068,0.375,0.7
Marc Gasol,Memphis Grizzlies,936,0.056,0.885,1,0.019,1.167,0.3,0,0,0,0.221,1.087,4,0.402,0.888,7.2,0.105,0.704,1.9,0,0,0,0.082,1.26,1.5,0.014,0.769,0.3,0.032,0.767,0.6,0.067,0.476,1.2
